year,geo,Mode 1/4,Mode 2,Mode 3
2000,AGO,1.99145549628299,1.38481931285805,0.923903111524051
2000,ARE,1.54426021399441,1.46985855176133,2.41162834987289
2000,ARG,1.29847727472251,0.599296048813182,0.713049480802548
2000,AUS,2.35291729968225,1.94737190248245,1.34319404755138
2000,AUT,4.53329839270478,3.04075394060225,2.05225043403337
2000,BEL,6.29346076104452,1.23899320650527,2.13181724334227
2000,BGD,2.05187479561917,0.120850677950924,0.125312669076112
2000,BGR,4.18854732203028,5.3858192679405,0.668257150239824
2000,BLR,3.73019978958909,0.605158616936364,0.771547528093372
2000,BRA,1.42433993637296,0.212351492242059,0.529618857951114
2000,BRN,1.69797870444639,0.983546759280478,1.51453039249557
2000,CAN,3.34740637687133,1.42175824489262,3.00103931451029
2000,CHE,8.95548880281429,2.26383861436195,9.21392854871085
2000,CHL,2.5675697100002,0.959136079698692,0.959291065963993
2000,CHN,1.47705411850003,0.85319642566926,0.376352291394566
2000,CIV,2.54252084419135,0.621401130387406,0.461807012475395
2000,CMR,2.65048614336074,0.377846161839283,0.495276083418086
2000,COD,0.563458665511147,0.480929081146645,0.377711339845795
2000,COL,1.38547694030914,1.15106760428815,0.477189476278099
2000,CRI,4.01371315163479,6.92691245594224,0.769611472176251
2000,CYP,8.28846844824192,15.4215933285414,3.43784982660726
2000,CZE,4.88578616028459,2.47802434817845,0.87070897040517
2000,DEU,3.64373889422474,0.67812258185008,2.56607495709848
2000,DNK,5.82863018611518,1.63103265768015,3.50350509792531
2000,EGY,1.85339199428332,3.21474220011773,0.542761368651172
2000,ESP,2.97422726764581,3.02819121804537,2.7971257910134
2000,EST,5.1773879377868,5.49315655286827,2.03227837881744
2000,FIN,3.68421028908275,1.05195532855525,3.25286982734114
2000,FRA,3.63642006393191,2.01795635706793,2.47885297713096
2000,GBR,4.26524528448484,1.28257085163073,4.76118160492055
2000,GRC,2.68702214348766,5.25698242369623,0.446692685536143
2000,HKG,7.87865529270545,2.65645737466887,3.62389295380152
2000,HRV,3.8190583809584,7.67814698392722,0.545950145916309
2000,HUN,4.553306177713,4.76668210173275,0.737044954826824
2000,IDN,2.29950066820451,1.85020178219915,0.513189309668917
2000,IND,1.52280261572605,0.62189600554254,0.248830497434657
2000,IRL,8.57146246018582,1.55342882305206,3.3411276913998
2000,ISL,5.02564078472039,1.86294870738952,2.11579252277744
2000,ISR,4.95153831355609,2.49607428357344,0.979900911708827
2000,ITA,3.32320858200915,1.89897425958382,0.937401365126137
2000,JOR,3.95770595356393,5.64334247103814,0.768099273909119
2000,JPN,1.54217802492401,0.111480964884021,1.43260545056859
2000,KAZ,2.84938372956026,1.43562878410057,0.885142498676658
2000,KHM,2.70884530056013,4.06582310115811,0.514333435121745
2000,KOR,2.88896634280004,0.636914798268407,1.83530028394919
2000,LAO,2.89427465132546,2.94592372891862,0.676030536167069
2000,LTU,4.84184888450821,1.73573902483946,0.888726026148995
2000,LUX,15.5954372999445,5.82962540656804,10.0133784552547
2000,LVA,5.93590362288375,0.84640373671971,0.963704313297775
2000,MAR,3.29767713102466,3.00417161813816,0.531913079275996
2000,MEX,2.68949416971254,0.966763530514923,0.535639559505668
2000,MLT,6.07986526779586,9.72760872475236,1.47614666551298
2000,MMR,1.08887697960331,0.480664365363753,0.333002712501867
2000,MYS,6.51052051575823,3.48978435306907,1.43576942244848
2000,NGA,1.89980552785997,0.495133473237804,0.545887587620772
2000,NLD,7.90754339166982,1.81762257368317,10.260666142439
2000,NOR,4.01045196145632,1.40970774144373,2.74902773788447
