year,geo,Backward (Cross-border),Backward (Mode 3),Forward (Cross-border),Forward (Mode 3)
2000,AGO,13.7823434322346,2.38021515534773,1.87453000932572,0.0876364320678641
2000,ARE,4.30551222941086,2.47283671171313,3.99064540139212,2.49378410057034
2000,ARG,2.70325435050065,4.91712652866869,4.99988622470036,3.73635782703512
2000,AUS,5.48365618295863,8.29531175677067,8.04137382392634,4.43957642931693
2000,AUT,11.4833967387421,5.42543379653693,9.68981863058065,2.82950103386598
2000,BEL,18.7548900424671,8.0467057980657,11.8170310819317,2.14445221736496
2000,BGD,4.40767071266924,2.62157968901075,3.72278603249923,0.0820398126842842
2000,BGR,13.2936104102217,3.17983613694414,10.3170311542087,0.166777724319634
2000,BLR,17.0059370037885,2.24126978630281,5.02222935940178,0.0939700541374612
2000,BRA,4.76243303095377,3.33497778296611,8.59638609358709,2.43041471420053
2000,BRN,5.41936921605048,2.61261349818683,1.65673682796472,1.23980966900503
2000,CAN,11.7405064371827,9.05508909731791,3.90560380460534,2.87660209063229
2000,CHE,11.9277073400716,19.0554323884807,11.9391907680889,17.1570396366976
2000,CHL,7.40585415045763,4.73801315144375,7.73382886203785,0.853153622779398
2000,CHN,7.30249563201938,1.58528381598156,5.73728455245915,0.368556379325238
2000,CIV,7.8643482789197,6.67735990899281,5.93813652590946,0.171604169382079
2000,CMR,6.84941802941429,5.99688541015279,8.06174836644973,0.29928739570354
2000,COD,1.95501713434608,3.71837772358874,15.7707897716363,0.510260609585735
2000,COL,5.67250100864477,3.00209899649048,4.44001816017731,0.970573413754061
2000,CRI,12.1169661315673,5.24222567932837,3.92448385302109,0.592860143848096
2000,CYP,17.2123880943155,3.60422941873333,12.2678303449666,6.79129638070116
2000,CZE,14.2243464937928,8.12341438852304,9.74117878463131,0.479607827777126
2000,DEU,9.40429845911461,3.1938400890331,10.0558269671601,6.00905433865623
2000,DNK,17.1736909679515,6.27707082851961,10.0767080630445,7.48337600779493
2000,EGY,5.10805103131801,3.94321101246408,13.5023709370816,0.673880108818412
2000,ESP,10.6385850679754,4.24299483850834,8.08750864056973,3.67013456049855
2000,EST,18.3579408173144,9.07135166739131,16.3855861700889,1.00977628828914
2000,FIN,12.6593684379879,4.42525934021144,7.97072721925949,5.19635059860151
2000,FRA,9.44654941803778,6.71379284495122,9.66964385114425,6.63661105328259
2000,GBR,7.44399348828543,12.5937372033065,12.80791548074,13.5897660392187
2000,GRC,9.55463415305298,3.91552743070933,10.3484996538619,0.225883521877426
2000,HKG,17.5358567036836,18.8920745157071,12.5438248045089,6.95839683328452
2000,HRV,10.259541776519,3.00735106294217,6.35958718740114,0.402109082371185
2000,HUN,21.0367542767792,5.4616045654693,5.35367679284887,0.263351143140639
2000,IDN,8.56064365147414,4.54445379218493,5.79390926141013,0.252188751652312
2000,IND,4.66940232190461,1.15253508858988,7.09213863294957,0.454711290682183
2000,IRL,25.3699764255323,15.4782506085712,6.67841529559706,2.65486004603822
2000,ISL,11.8541058484153,1.47670789540755,8.59214395427015,3.96790553091862
2000,ISR,11.2241563939326,3.9456189261203,8.77536530145235,1.37340404277015
2000,ITA,8.72888482679187,3.98353185123192,9.02634553595915,1.79956078305644
2000,JOR,15.7547581246125,6.80234341972033,5.75248493958717,0.690275585234595
2000,JPN,2.84769647414505,0.937131089550015,10.0137838098071,10.4663111344659
2000,KAZ,12.2333591055181,4.39086592382161,9.89630009519305,0.125843465872268
2000,KHM,11.9019348237575,3.75764249547884,3.37391833979591,0.131024669476133
2000,KOR,11.7559127250635,1.78435883435023,6.03225485082476,2.58591300975486
2000,LAO,6.41798852792912,8.83974070408252,7.42504567159313,0.305717722509618
2000,LTU,11.1828547318024,6.7966039553969,11.7302724974876,0.725680323053706
2000,LUX,46.8397060736489,10.2437932965226,9.41024899338053,4.07201227866457
2000,LVA,10.7672854528432,7.55934434902018,15.4359241491365,0.168686286222691
2000,MAR,9.63178024931233,3.50094276588752,5.7753136691442,0.613680030953966
2000,MEX,9.2570799197741,3.38054189777125,3.34238587360796,0.656195016335574
2000,MLT,20.6941576428816,3.95604597677502,7.73375016791306,1.19996506088909
2000,MMR,6.6793899567617,1.60400414343308,4.05040957730319,0.152715815747009
2000,MYS,19.9274524926365,3.83251637332977,5.92932748866558,0.611387397379907
2000,NGA,3.30947809743631,1.2247647325101,5.71242927125441,0.0766013157309822
2000,NLD,14.0954912820832,5.5910664821206,11.4358842430009,17.4712342109832
2000,NOR,8.66827015952991,5.4299416319288,8.68395505862768,4.35314731261467
