year,geo,Domestic content,Foreign content (Mode 1/4),Foreign content (Mode 3)
2023,FRA,21.9081929,16.45819154,3.336424745
2023,GBR,18.13703325,13.06002369,6.406091726
2023,GRC,10.91357019,16.35262701,1.881409256
2023,HKG,25.15858848,14.67671151,22.06592122
2023,HRV,11.11642037,16.88294176,5.091633714
2023,HUN,9.672317876,25.05065022,3.754655729
2023,IDN,15.0135174,5.943202002,1.707612424
2023,IND,16.7162727,10.0450579,0.741695983
2023,IRL,2.924437639,23.7921883,1.690741074
2023,ISL,16.61980825,14.53340683,1.561677679
2023,ISR,21.5297239,13.23522642,1.991626511
2023,ITA,20.27457743,13.03067944,3.976773931
2023,JOR,9.904389745,14.61587465,1.853625364
2023,JPN,19.86673003,8.644148803,1.07781677
2023,KAZ,12.17067385,5.460024504,2.282019975
2023,KHM,2.527324415,15.09007013,0.449036809
2023,KOR,14.09592607,13.43365525,0.648632219
2023,LAO,6.898125874,9.30117853,0.993413534
2023,LTU,9.604728001,18.99752587,2.902321058
2023,LUX,10.67415721,47.68949909,6.305705308
2023,LVA,14.12148282,15.82004137,5.581279722
2023,MAR,6.818326442,18.08117225,1.075155243
2023,MEX,16.3605012,14.20446002,2.390088054
2023,MLT,10.6683114,28.65471932,4.706651719
2023,MMR,9.049748474,7.04978771,0.683941016
2023,MYS,16.04319681,15.516778,2.494571795
2023,NGA,15.04096157,6.935877584,0.697267497
2023,NLD,16.70169005,17.66365145,4.881736643
2023,NOR,4.734492998,5.206733401,1.627264001
2023,NZL,23.54604947,8.623958682,8.297572066
2023,PAK,11.05821052,2.974527672,0.561998654
2023,PER,13.51509911,6.50989351,2.737507241
2023,PHL,15.39138897,15.82183901,1.625090625
2023,POL,13.44709491,18.18387647,4.130156118
2023,PRT,14.35475969,19.64659671,5.176993183
2023,ROU,14.85612407,17.22680261,5.479767383
2023,RUS,19.48664223,3.909884899,1.129171885
2023,SAU,5.930697531,3.764103769,0.85384809
