year,geo,isic,MOS3_to_xborder
2000,AGO,F41T43,1.75252912756149
2000,AGO,G45T47,0.0640167013251549
2000,AGO,H49,0.0171230999777571
2000,AGO,H50,0.0198330705021134
2000,AGO,H51,0.0343256848032971
2000,AGO,H52,0.0552485681457882
2000,AGO,H53,0.726828903932476
2000,AGO,I55T56,0.0184833192168304
2000,AGO,J58T60,0.037970762829682
2000,AGO,J61,0.103244265604045
2000,AGO,J62T63,0.0320017444964717
2000,AGO,K64T66,0.0886277134159021
2000,AGO,L68,0.147132124996793
2000,AGO,M69T75,0.0325676406199846
2000,AGO,N77T82,0.0483644934894913
2000,AGO,P85,0.401793429753169
2000,AGO,Q86T88,0.760605090122174
2000,AGO,R90T93,0.0862073518625657
2000,AGO,S94T96,0.226326806003747
2000,ARE,F41T43,9.98834679474175
2000,ARE,G45T47,1.39835249453682
2000,ARE,H49,0.34280050740468
2000,ARE,H50,0.778941245135967
2000,ARE,H51,0.636737015414182
2000,ARE,H52,1.64422222892485
2000,ARE,H53,6.34259100740029
2000,ARE,I55T56,0.36693563623327
2000,ARE,J58T60,2.51154329132023
2000,ARE,J61,8.33876875640965
2000,ARE,J62T63,9.6513648410761
2000,ARE,K64T66,20.0715153344868
2000,ARE,L68,2.47157388915896
2000,ARE,M69T75,1.20648676488519
2000,ARE,N77T82,1.12696810171608
2000,ARE,P85,0.320637988422144
2000,ARE,Q86T88,1.62094068887521
2000,ARE,R90T93,0.539401086548059
2000,ARE,S94T96,1.08962868555692
2000,ARG,F41T43,1442.26787184902
2000,ARG,G45T47,0.86453339322503
2000,ARG,H49,0.230617271458602
2000,ARG,H50,0.549733359396661
2000,ARG,H51,0.0837541703648685
2000,ARG,H52,0.439886633783331
2000,ARG,H53,0.369826724754667
2000,ARG,I55T56,0.260137691017623
2000,ARG,J58T60,0.652838024829249
2000,ARG,J61,0.716548153722447
2000,ARG,J62T63,1.46651525722147
2000,ARG,K64T66,8.48101114881626
2000,ARG,L68,2.63524900044975
2000,ARG,M69T75,0.723935316722815
2000,ARG,N77T82,0.476232269419859
2000,ARG,P85,0.316662034118552
2000,ARG,Q86T88,2.21049748686792
2000,ARG,R90T93,0.415775688988571
2000,ARG,S94T96,1.44000636838691
2000,AUS,F41T43,2.20091134428368
2000,AUS,G45T47,0.310184090159691
2000,AUS,H49,0.213584549084087
2000,AUS,H50,0.517120033503193
2000,AUS,H51,0.0276486539434968
2000,AUS,H52,1.23312498806717
2000,AUS,H53,0.172661508154919
2000,AUS,I55T56,0.0434291943000454
2000,AUS,J58T60,2.71766961168999
2000,AUS,J61,0.480672022737966
2000,AUS,J62T63,1.93583860759582
2000,AUS,K64T66,6.56801440734907
2000,AUS,L68,2.79543703090907
2000,AUS,M69T75,1.32413326029671
2000,AUS,N77T82,0.146235639887284
2000,AUS,P85,0.0327388449142735
2000,AUS,Q86T88,4.14607412267331
2000,AUS,R90T93,0.254693820583903
2000,AUS,S94T96,0.852877024397563
2000,AUT,F41T43,3.47468082628516
2000,AUT,G45T47,0.549995151437645
2000,AUT,H49,0.0395468078150198
2000,AUT,H50,0.0370567264402048
2000,AUT,H51,0.0179413158568255
2000,AUT,H52,0.221262159774048
2000,AUT,H53,0.00926511892505066
2000,AUT,I55T56,0.0986431425022683
2000,AUT,J58T60,0.185127562258163
2000,AUT,J61,0.130158920562513
2000,AUT,J62T63,0.755109375858487
2000,AUT,K64T66,0.340134882138771
2000,AUT,L68,1.47881792872459
2000,AUT,M69T75,0.120359379283402
2000,AUT,N77T82,0.65265941242533
2000,AUT,P85,0.235751798846174
2000,AUT,Q86T88,0.0495931852997711
2000,AUT,R90T93,1.50339364089939
2000,AUT,S94T96,0.0211193182478292
2000,BEL,F41T43,3.64191603002638
2000,BEL,G45T47,0.232200746289277
2000,BEL,H49,0.0860783436531981
2000,BEL,H50,0.163547344370617
2000,BEL,H51,0.0221660269247655
2000,BEL,H52,0.0493106351681056
2000,BEL,H53,0.00840146419516028
2000,BEL,I55T56,0.333135186341717
